K,UL,beta,burn_factor,crossing_time,delta,mu1,mu2,num_crossings,rep,s,seed1,seed2,seed3,seed4,sigma
100,1.0,0.01,0.25,23122,-0.01,1.0e-5,0.0,50,16,0.0,1854167618,3867306076,3888079832,1344093349,5.0e-8
464,1.0,0.01,0.25,5068,-0.01,1.0e-5,0.0,50,5,0.0,3968262102,2434757759,3823175461,2094991912,5.0e-8
100,1.0,0.01,0.25,59405,-0.01,1.0e-5,0.0,50,3,0.0,3275122441,455353385,3930720676,3709037216,0.5
100,1.0,0.01,0.25,57272,-0.01,1.0e-5,0.0,50,13,0.0,2897860231,91880714,1454967250,2006940907,0.5
100,1.0,0.01,0.25,52069,-0.01,1.0e-5,0.0,50,12,0.0,1919752195,2698293258,3073550787,2761619052,0.5
464,1.0,0.01,0.25,2394,-0.01,1.0e-5,0.0,50,36,0.0,3182375459,3606333660,1990515598,2983419103,5.0e-8
464,1.0,0.01,0.25,15396,-0.01,1.0e-5,0.0,50,25,0.0,4144427091,994831058,2769690718,3781100505,0.5
100,1.0,0.01,0.25,16612,-0.01,1.0e-5,0.0,50,26,0.0,4255816859,304709195,565280600,3724287402,0.05
215,1.0,0.01,0.25,31572,-0.01,1.0e-5,0.0,50,39,0.0,3395647581,3136101279,792998941,3466431361,0.5
100,1.0,0.01,0.25,28339,-0.01,1.0e-5,0.0,50,6,0.0,1346542193,3030412731,4054018534,2925159753,0.05
100,1.0,0.01,0.25,53486,-0.01,1.0e-5,0.0,50,34,0.0,1008052964,1026770828,2567326253,3910615513,0.5
464,1.0,0.01,0.25,6510,-0.01,1.0e-5,0.0,50,26,0.0,2921608072,3960988906,553098965,1115102591,0.05
1000,1.0,0.01,0.25,10421,-0.01,1.0e-5,0.0,50,29,0.0,455039183,2917745515,3539356341,1542120834,0.5
464,1.0,0.01,0.25,6200,-0.01,1.0e-5,0.0,50,31,0.0,2668122080,3466287783,4096431523,3533003598,5.0e-8
100,1.0,0.01,0.25,60736,-0.01,1.0e-5,0.0,50,42,0.0,1782407808,452381768,3182395799,2579037900,0.5
100,1.0,0.01,0.25,26264,-0.01,1.0e-5,0.0,50,28,0.0,1859152650,3777537096,3879037831,639762422,0.05
100,1.0,0.01,0.25,51636,-0.01,1.0e-5,0.0,50,17,0.0,4170046391,2060790788,1906175760,1722291875,0.5
100,1.0,0.01,0.25,43113,-0.01,1.0e-5,0.0,50,18,0.0,672826280,3576759095,2057638729,2184036602,0.5
464,1.0,0.01,0.25,5598,-0.01,1.0e-5,0.0,50,43,0.0,2997899415,3013369385,4217130014,1530218415,5.0e-8
215,1.0,0.01,0.25,43064,-0.01,1.0e-5,0.0,50,17,0.0,4180869227,397746918,2217913342,3279019648,0.5
1000,1.0,0.01,0.25,8404,-0.01,1.0e-5,0.0,50,34,0.0,3293784404,3294519379,3468539548,1703527828,0.5
100,1.0,0.01,0.25,23992,-0.01,1.0e-5,0.0,50,30,0.0,1693729527,3576345063,3249212859,4220341871,5.0e-8
100,1.0,0.01,0.25,26420,-0.01,1.0e-5,0.0,50,31,0.0,2003350550,3263701381,1251243595,3492535650,5.0e-8
100,1.0,0.01,0.25,22033,-0.01,1.0e-5,0.0,50,17,0.0,2645250567,1735649500,3602593145,1322325428,5.0e-8
100,1.0,0.01,0.25,31519,-0.01,1.0e-5,0.0,50,4,0.0,1817434069,312345353,2099135939,852818492,0.05
215,1.0,0.01,0.25,13044,-0.01,1.0e-5,0.0,50,6,0.0,3554302804,1357612546,3255148259,1252178851,5.0e-8
100,1.0,0.01,0.25,25946,-0.01,1.0e-5,0.0,50,38,0.0,3116933343,1596387458,3809830738,3075563418,0.05
215,1.0,0.01,0.25,18009,-0.01,1.0e-5,0.0,50,47,0.0,2073286463,1720644783,739358500,3443315501,5.0e-8
100,1.0,0.01,0.25,24381,-0.01,1.0e-5,0.0,50,41,0.0,3528977942,3383997360,639501289,1705616979,0.05
464,1.0,0.01,0.25,3470,-0.01,1.0e-5,0.0,50,30,0.0,3435280941,3453642385,1871533820,1782433215,5.0e-8
100,1.0,0.01,0.25,18252,-0.01,1.0e-5,0.0,50,4,0.0,1249905666,2185649278,1722701704,3621188798,5.0e-8
464,1.0,0.01,0.25,17239,-0.01,1.0e-5,0.0,50,46,0.0,1200626325,413627298,284459495,151534428,0.5
100,1.0,0.01,0.25,51721,-0.01,1.0e-5,0.0,50,20,0.0,2922624789,399282716,1856567246,2667875374,0.5
100,1.0,0.01,0.25,56115,-0.01,1.0e-5,0.0,50,49,0.0,2033095898,794934734,3419147350,905363608,0.5
1000,1.0,0.01,0.25,4282,-0.01,1.0e-5,0.0,50,2,0.0,3627890503,4010185901,4245356655,338580480,0.5
464,1.0,0.01,0.25,4243,-0.01,1.0e-5,0.0,50,44,0.0,3578711704,2475595687,3424227349,4165789150,5.0e-8
1000,1.0,0.01,0.25,266,-0.01,1.0e-5,0.0,50,3,0.0,429673666,1384140849,3634772856,2617868750,5.0e-8
215,1.0,0.01,0.25,26689,-0.01,1.0e-5,0.0,50,13,0.0,3969926483,1847332091,2651625381,655760284,0.5
215,1.0,0.01,0.25,49058,-0.01,1.0e-5,0.0,50,4,0.0,4253910319,1143807747,4246886194,1621920686,0.5
1000,1.0,0.01,0.25,2969,-0.01,1.0e-5,0.0,50,28,0.0,2677671416,2004921775,3819737916,3211670909,0.05
215,1.0,0.01,0.25,18277,-0.01,1.0e-5,0.0,50,19,0.0,2641972667,3360315890,34930623,1103341386,0.05
464,1.0,0.01,0.25,27321,-0.01,1.0e-5,0.0,50,15,0.0,1132203624,3797123415,3181506257,3354941806,0.5
100,1.0,0.01,0.25,53670,-0.01,1.0e-5,0.0,50,19,0.0,3161886757,2494027514,1448250118,1720952636,0.5
215,1.0,0.01,0.25,25748,-0.01,1.0e-5,0.0,50,41,0.0,4044104615,2070455019,550155376,3348262139,0.5
