K,UL,beta,burn_factor,crossing_time,delta,mu1,mu2,num_crossings,rep,s,seed1,seed2,seed3,seed4,sigma
1000,1.0,0.01,0.25,7809,1.0e-5,1.0e-5,0.0001,50,6,0.1,1544609422,2550950343,2179670894,3267520850,0.05
215,1.0,0.01,0.25,27755,1.0e-5,1.0e-5,0.0001,50,11,0.1,3623329459,3977372502,3452732692,3312465490,0.05
1000,1.0,0.01,0.25,6844,1.0e-5,1.0e-5,0.0001,50,39,0.1,3206782722,1342408132,2868293612,1754567232,0.05
215,1.0,0.01,0.25,48143,1.0e-5,1.0e-5,0.0001,50,32,0.1,3048929493,1362750041,318980058,3271845593,0.5
464,1.0,0.01,0.25,28940,1.0e-5,1.0e-5,0.0001,50,46,0.1,142088620,2526486841,1909556752,2808605798,0.5
100,1.0,0.01,0.25,69898,1.0e-5,1.0e-5,0.0001,50,7,0.1,3542281191,1499759271,4003928767,1681899129,0.5
464,1.0,0.01,0.25,12621,1.0e-5,1.0e-5,0.0001,50,37,0.1,2200266173,1114332581,2448953522,1691175216,5.0e-8
1000,1.0,0.01,0.25,3482,1.0e-5,1.0e-5,0.0001,50,5,0.1,477329501,257276880,2594914323,2385468242,5.0e-8
215,1.0,0.01,0.25,21029,1.0e-5,1.0e-5,0.0001,50,2,0.1,1728363060,2880616804,3747445702,2845221514,5.0e-8
100,1.0,0.01,0.25,89622,1.0e-5,1.0e-5,0.0001,50,21,0.1,1111533697,3740574702,4018432597,1868952364,0.5
215,1.0,0.01,0.25,57126,1.0e-5,1.0e-5,0.0001,50,38,0.1,765630374,2081662068,674494679,712287383,0.5
215,1.0,0.01,0.25,55978,1.0e-5,1.0e-5,0.0001,50,12,0.1,3980364201,1733112123,3615755130,3598206062,0.5
464,1.0,0.01,0.25,17671,1.0e-5,1.0e-5,0.0001,50,7,0.1,1892587052,1141918561,1855380580,927437650,0.05
100,1.0,0.01,0.25,43616,1.0e-5,1.0e-5,0.0001,50,30,0.1,1696873850,2517623353,3456387476,2905440783,5.0e-8
215,1.0,0.01,0.25,31549,1.0e-5,1.0e-5,0.0001,50,44,0.1,2949541289,2865560432,1723019794,3400321798,0.05
1000,1.0,0.01,0.25,14435,1.0e-5,1.0e-5,0.0001,50,20,0.1,3545910433,4104157585,1881447859,3209057279,0.5
215,1.0,0.01,0.25,28950,1.0e-5,1.0e-5,0.0001,50,49,0.1,3085415791,3902748130,1876966861,4255411458,0.05
215,1.0,0.01,0.25,26342,1.0e-5,1.0e-5,0.0001,50,32,0.1,725230292,1459648274,2583093885,2507933633,0.05
100,1.0,0.01,0.25,27620,1.0e-5,1.0e-5,0.0001,50,18,0.1,428914782,2706863870,882131761,4206793861,5.0e-8
464,1.0,0.01,0.25,32155,1.0e-5,1.0e-5,0.0001,50,9,0.1,2894730639,2550542366,3841990832,164718016,0.5
215,1.0,0.01,0.25,54248,1.0e-5,1.0e-5,0.0001,50,33,0.1,2821971434,2773658935,359339007,2941577342,0.5
100,1.0,0.01,0.25,44440,1.0e-5,1.0e-5,0.0001,50,29,0.1,3821725929,261928343,2361817565,1757469865,0.05
464,1.0,0.01,0.25,35890,1.0e-5,1.0e-5,0.0001,50,4,0.1,2620476229,1062971895,2229724556,1016676181,0.5
100,1.0,0.01,0.25,47816,1.0e-5,1.0e-5,0.0001,50,50,0.1,2537634564,3784339412,3405274070,2324448676,0.05
100,1.0,0.01,0.25,95892,1.0e-5,1.0e-5,0.0001,50,49,0.1,1488946674,3773296327,1007520670,577380664,0.5
215,1.0,0.01,0.25,20074,1.0e-5,1.0e-5,0.0001,50,12,0.1,3825608346,3940887206,3614446279,2072095395,5.0e-8
100,1.0,0.01,0.25,79862,1.0e-5,1.0e-5,0.0001,50,45,0.1,796472984,2078015196,1441608935,947007125,0.5
1000,1.0,0.01,0.25,1071,1.0e-5,1.0e-5,0.0001,50,18,0.1,1178344374,892058554,449897974,2532403212,5.0e-8
100,1.0,0.01,0.25,96344,1.0e-5,1.0e-5,0.0001,50,22,0.1,372516646,824997170,2550294482,3669217999,0.5
464,1.0,0.01,0.25,13027,1.0e-5,1.0e-5,0.0001,50,13,0.1,612750163,3239129963,2694384712,2753525363,5.0e-8
464,1.0,0.01,0.25,22796,1.0e-5,1.0e-5,0.0001,50,3,0.1,311081030,843577577,495115714,1597366300,0.05
215,1.0,0.01,0.25,29112,1.0e-5,1.0e-5,0.0001,50,6,0.1,1000326154,1935926176,946418370,3168944247,0.05
100,1.0,0.01,0.25,40937,1.0e-5,1.0e-5,0.0001,50,22,0.1,1114028612,2185690501,1642703101,1030489555,5.0e-8
215,1.0,0.01,0.25,64293,1.0e-5,1.0e-5,0.0001,50,5,0.1,1285638992,2740674618,1563508185,3624426392,0.5
215,1.0,0.01,0.25,68761,1.0e-5,1.0e-5,0.0001,50,8,0.1,4169149548,1516074480,3363915459,2031062571,0.5
100,1.0,0.01,0.25,31228,1.0e-5,1.0e-5,0.0001,50,1,0.1,1701488585,1183326741,2413094309,1995928880,5.0e-8
464,1.0,0.01,0.25,43674,1.0e-5,1.0e-5,0.0001,50,16,0.1,2099030896,3734539968,3497571877,427078927,0.5
215,1.0,0.01,0.25,29535,1.0e-5,1.0e-5,0.0001,50,7,0.1,3294427870,2335839127,1498942810,4247762176,0.05
215,1.0,0.01,0.25,31970,1.0e-5,1.0e-5,0.0001,50,46,0.1,3973684759,649600293,740600066,1935693594,0.05
1000,1.0,0.01,0.25,8200,1.0e-5,1.0e-5,0.0001,50,19,0.1,2882516951,3370519096,2121375024,2387420993,0.05
100,1.0,0.01,0.25,34546,1.0e-5,1.0e-5,0.0001,50,7,0.1,1084406940,3180657202,2838161285,2371256953,5.0e-8
100,1.0,0.01,0.25,47600,1.0e-5,1.0e-5,0.0001,50,24,0.1,2526857581,2978535954,3742873183,2961738151,0.05
464,1.0,0.01,0.25,14793,1.0e-5,1.0e-5,0.0001,50,1,0.1,3928681407,90712744,3876123749,3089863472,0.05
100,1.0,0.01,0.25,49583,1.0e-5,1.0e-5,0.0001,50,46,0.1,1138026314,3428072004,89515959,4062412849,0.05
215,1.0,0.01,0.25,21609,1.0e-5,1.0e-5,0.0001,50,32,0.1,521637673,129496488,1862875281,2028365916,5.0e-8
1000,1.0,0.01,0.25,4382,1.0e-5,1.0e-5,0.0001,50,14,0.1,1051595941,2310518483,1524239032,3922035423,5.0e-8
1000,1.0,0.01,0.25,5357,1.0e-5,1.0e-5,0.0001,50,9,0.1,509601353,742965312,4108533321,1466012410,5.0e-8
100,1.0,0.01,0.25,45326,1.0e-5,1.0e-5,0.0001,50,41,0.1,3501497550,3393143783,4079017747,2717960380,0.05
1000,1.0,0.01,0.25,4104,1.0e-5,1.0e-5,0.0001,50,20,0.1,78670918,3650635005,2477942831,1292426299,5.0e-8
215,1.0,0.01,0.25,24706,1.0e-5,1.0e-5,0.0001,50,11,0.1,2106207458,508156997,1671983138,3089552297,5.0e-8
464,1.0,0.01,0.25,10051,1.0e-5,1.0e-5,0.0001,50,40,0.1,3014062883,3040171900,1975975633,340609760,5.0e-8
215,1.0,0.01,0.25,72249,1.0e-5,1.0e-5,0.0001,50,20,0.1,3805517588,3152733188,2401986393,1942160906,0.5
100,1.0,0.01,0.25,46082,1.0e-5,1.0e-5,0.0001,50,43,0.1,2677052933,3855410485,4043554191,4246204982,5.0e-8
464,1.0,0.01,0.25,35339,1.0e-5,1.0e-5,0.0001,50,10,0.1,2256178665,3171611878,1402425807,1929567471,0.5
215,1.0,0.01,0.25,60766,1.0e-5,1.0e-5,0.0001,50,30,0.1,1386807077,891285555,1216478897,3262056623,0.5
